REF_AREA,Territorio,year,pred_unemployment_rate,unemployment_rate,pred_unemployed_thousands,actual_unemployed_thousands,employed_thousands,gdp_lag1,gdp_per_employed_lag1,neet_rate_lag1,risk_score,policy_cluster,neet_flag
ITF3,Campania,2025,14.960743184035643,14.251343,292.3242876142371,282.59600982463195,1700.347,137267.0,82.61044355561869,24.903245,0.8999999999999999,Priorita alta: disoccupazione alta e PIL per occupato basso,NEET alto
ITG1,Sicilia,2025,13.032452529099816,12.477971,213.7051310557556,204.47900727953873,1434.241,111704.4,78.32930248996028,25.742155,0.8976190476190476,Priorita alta: disoccupazione alta e PIL per occupato basso,NEET alto
ITF6,Calabria,2025,13.066084339692022,10.210476,78.3064026693214,60.97400181976686,536.197,39858.2,76.50267560325831,26.232599,0.8976190476190475,Priorita alta: disoccupazione alta e PIL per occupato basso,NEET alto
ITF4,Puglia,2025,8.854730268913299,10.27324,123.12949564214931,143.6989990504505,1255.071,94488.9,74.55210226120602,21.419766,0.8761904761904761,Priorita alta: disoccupazione alta e PIL per occupato basso,NEET alto
ITG2,Sardegna,2025,7.459168893710238,9.532401,46.061767843829685,60.28299916877423,572.118,43437.6,76.0120184020845,17.787085,0.769047619047619,Priorita alta: disoccupazione alta e PIL per occupato basso,NEET alto
ITF2,Molise,2025,7.386611034250152,6.356495,8.323570951824944,7.031999704891438,103.595,7990.8,76.56883318481042,18.960077,0.669047619047619,Priorita alta: disoccupazione alta e PIL per occupato basso,NEET alto
ITF1,Abruzzo,2025,6.545192486121102,6.762283,34.525042254932266,35.8190016914185,493.869,40755.5,82.6747294923341,17.217976,0.6214285714285714,Priorita alta: disoccupazione alta e PIL per occupato basso,NEET alto
ITF5,Basilicata,2025,6.697985045919192,5.510016,13.616716703815827,11.212001013271417,192.272,15106.1,79.64033973186278,17.036644,0.6071428571428572,Priorita alta: disoccupazione alta e PIL per occupato basso,NEET alto
ITE4,Lazio,2025,5.222215165906563,5.680821,128.61231371141886,140.81493762390576,2337.963,246569.4,105.63426985065419,15.155948,0.5809523809523809,Mismatch: disoccupazione alta ma base economica piu forte,NEET alto
ITE3,Marche,2025,4.82373542357508,5.290068,31.325101552551807,34.57800050174252,619.062,50595.3,81.86014529098645,10.589946,0.5095238095238095,Priorita alta: disoccupazione alta e PIL per occupato basso,NEET sotto mediana
ITC1,Piemonte,2025,4.88717664630971,6.164193,92.62808017713351,118.37599059562625,1802.005,164224.2,91.09896760472203,9.810216,0.4976190476190476,Mismatch: disoccupazione alta ma base economica piu forte,NEET sotto mediana
ITE1,Toscana,2025,4.16814556110211,4.387398,69.83207168212998,73.2580080985768,1596.479,143663.6,89.47975856143374,11.040906,0.4833333333333333,Tenuta relativa,NEET alto
ITE2,Umbria,2025,4.485975039700857,4.65474,16.721822893536366,17.60999848718227,360.714,27671.5,77.72107314990619,10.068461,0.45238095238095244,Produttivita fragile: bassa disoccupazione ma PIL per occupato basso,NEET sotto mediana
ITC3,Liguria,2025,4.766133152079697,4.710665,30.465879968538477,30.775999179236585,622.55,58635.6,96.32131416837782,12.365195,0.4523809523809524,Tenuta relativa,NEET alto
ITD4,Friuli-Venezia Giulia,2025,4.146601015582125,4.684697,22.126360916952557,24.96404994838027,507.921,46572.1,91.05432121937295,10.612919,0.3976190476190476,Tenuta relativa,NEET sotto mediana
ITD3,Veneto,2025,3.8548992711023233,3.506283,86.30554914712084,77.12097418240194,2122.387,201373.3,93.55113103168897,8.973313,0.3547619047619048,Tenuta relativa,NEET sotto mediana
ITC4,Lombardia,2025,3.3983817238847163,3.005698,155.20191549366382,137.57001647366874,4439.404,505152.8,114.50209826793727,10.050766,0.32142857142857145,Tenuta relativa,NEET sotto mediana
ITD5,Emilia-Romagna,2025,3.6365403109909225,4.158524,74.05860169920146,86.7950082773767,2000.364,198590.6,101.1950343804237,9.554061,0.3119047619047619,Tenuta relativa,NEET sotto mediana
ITC2,Valle d'Aosta,2025,3.4120433811363045,3.914399,1.959060905847147,2.2480002099273957,55.181,5858.0,105.63139008601259,10.326754,0.21904761904761902,Tenuta relativa,NEET sotto mediana
ITD2,Trento,2025,3.359724069822018,2.302378,8.459742975248707,5.798975889709988,246.07,26074.7,107.15380600725737,7.318831,0.1119047619047619,Tenuta relativa,NEET sotto mediana
ITD1,Bolzano,2025,3.121718286795322,1.761196,8.157277052473999,4.542001221798262,253.351,33178.8,131.06379616827968,7.972941,0.06904761904761905,Tenuta relativa,NEET sotto mediana
