FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2004,20.664027,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2005,21.657426,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2006,19.278014,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2007,18.361905,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2008,18.834026,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2009,23.324961,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2010,27.020784,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2011,27.108283,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2012,33.784533,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2013,38.981411,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2014,41.29984,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2015,38.715856,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2016,36.316784,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2017,32.863128,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2018,30.387017,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2019,27.778004,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2020,28.357399,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2021,27.658222,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2022,22.294831,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2023,21.083284,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2024,19.171425,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-24,15-24 anni,2025,19.472639,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y18-29,18-29 anni,2018,23.220046,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y18-29,18-29 anni,2019,20.998607,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y18-29,18-29 anni,2020,21.21285,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y18-29,18-29 anni,2021,21.151967,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y18-29,18-29 anni,2022,16.652538,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y18-29,18-29 anni,2023,15.451423,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y18-29,18-29 anni,2024,13.772807,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y18-29,18-29 anni,2025,13.426141,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-29,15-29 anni,2018,23.412343,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-29,15-29 anni,2019,21.212745,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-29,15-29 anni,2020,21.359369,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-29,15-29 anni,2021,21.392006,,
A,Annuale,IT,Italia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-29,15-29 anni,2022,16.801979,,
