FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2018,1104.784,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2019,1037.021,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2020,1104.479,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2021,1140.401,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2022,916.886,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,733.706,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,696.434,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025,579.805,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2018,1975.168,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2019,1859.867,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2020,2013.9,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2021,1887.933,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2022,1558.755,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,1365.257,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,1302.46,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025,1153.304,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2018,2072.271,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2019,1960.424,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2020,2098.976,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2021,2031.626,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2022,1669.553,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,1405.032,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,1337.456,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025,1178.418,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2018,3011.341,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2019,2875.492,,
A,Annuale,IT,Italia,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2020,3083.109,,
